=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.02.27 14:02:26 =~=~=~=~=~=~=~=~=~=~=~=

RFM69 radio init OK!
one circle time, sleep_time, awake time, set_sleepTime, set_buffer, set_sendtoWait, set_send, set_randomTime_in_sendtoWait, set_waitAvailableTimeout, waitAvailableTimeout_within_numTimes
18.00, 8, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 456
123.00, 114, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 347
20.00, 12, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 312
16.00, 3, 13.00, 2.00, 0.00, 12.00, 4.00, 0.00, 8.00, 533
28.00, 21, 7.00, 0.00, 0.00, 8.00, 2.00, 2.00, 4.00, 254
89.00, 76, 13.00, 0.00, 0.00, 13.00, 2.00, 0.00, 11.00, 588
73.00, 65, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 325
62.00, 51, 11.00, 3.00, 0.00, 8.00, 2.00, 0.00, 6.00, 320
41.00, 32, 9.00, 0.00, 2.00, 8.00, 2.00, 0.00, 6.00, 347
19.00, 8, 11.00, 2.00, 0.00, 9.00, 2.00, 0.00, 7.00, 313
51.00, 39, 12.00, 2.00, 0.00, 10.00, 2.00, 0.00, 8.00, 444
55.00, 47, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 301
50.00, 38, 12.00, 2.00, 0.00, 11.00, 4.00, 0.00, 7.00, 366
67.00, 58, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 391
48.00, 34, 14.00, 0.00, 2.00, 13.00, 2.00, 0.00, 11.00, 654
18.00, 7, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 523
99.00, 89, 10.00, 0.00, 0.00, 11.00, 4.00, 0.00, 7.00, 379
14.00, 3, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 526
37.00, 28, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 345
94.00, 83, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 372
29.00, 18, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 473
11.00, 3, 8.00, 0.00, 0.00, 9.00, 4.00, 0.00, 5.00, 219
157.00, 146, 11.00, 2.00, 0.00, 10.00, 2.00, 2.00, 6.00, 414
25.00, 13, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 525
92.00, 81, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 511
43.00, 33, 10.00, 0.00, 0.00, 10.00, 2.00, 2.00, 6.00, 422
22.00, 14, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 314
13.00, 3, 10.00, 2.00, 0.00, 9.00, 4.00, 0.00, 5.00, 228
20.00, 11, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 394
23.00, 11, 12.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 543
20.00, 12, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 313
96.00, 83, 13.00, 2.00, 0.00, 12.00, 4.00, 0.00, 8.00, 524
37.00, 26, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 486
10.00, 1, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 366
13.00, 3, 10.00, 2.00, 0.00, 9.00, 4.00, 0.00, 5.00, 227
16.00, 5, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 535
17.00, 7, 10.00, 0.00, 0.00, 11.00, 5.00, 0.00, 6.00, 384
59.00, 51, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 312
23.00, 12, 11.00, 2.00, 0.00, 8.00, 2.00, 0.00, 6.00, 321
33.00, 23, 10.00, 0.00, 0.00, 11.00, 3.00, 2.00, 6.00, 409
88.00, 79, 9.00, 0.00, 2.00, 8.00, 2.00, 0.00, 6.00, 352
244.00, 236, 8.00, 0.00, 0.00, 8.00, 2.00, 2.00, 4.00, 262
72.00, 63, 9.00, 0.00, 0.00, 9.00, 2.00, 0.00, 7.00, 324
67.00, 56, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 399
56.00, 44, 12.00, 0.00, 0.00, 13.00, 5.00, 0.00, 8.00, 523
100.00, 89, 11.00, 0.00, 0.00, 12.00, 4.00, 0.00, 8.00, 524
35.00, 21, 14.00, 0.00, 0.00, 14.00, 4.00, 0.00, 10.00, 702
62.00, 53, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 303
22.00, 11, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 395
34.00, 27, 7.00, 0.00, 0.00, 8.00, 2.00, 2.00, 4.00, 258
62.00, 49, 13.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 618
19.00, 6, 13.00, 0.00, 0.00, 13.00, 2.00, 0.00, 11.00, 600
43.00, 34, 9.00, 0.00, 2.00, 9.00, 3.00, 0.00, 6.00, 347
22.00, 11, 11.00, 2.00, 0.00, 10.00, 4.00, 0.00, 6.00, 393
146.00, 135, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 451
37.00, 26, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 477
49.00, 39, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 434
158.00, 148, 10.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 405
23.00, 13, 10.00, 0.00, 0.00, 11.00, 5.00, 0.00, 6.00, 377
205.00, 195, 10.00, 0.00, 0.00, 11.00, 2.00, 2.00, 7.00, 407
14.00, 2, 12.00, 0.00, 0.00, 12.00, 2.00, 0.00, 10.00, 587
17.00, 5, 12.00, 0.00, 0.00, 13.00, 4.00, 0.00, 9.00, 528
24.00, 15, 9.00, 0.00, 0.00, 10.00, 4.00, 0.00, 6.00, 397
99.00, 90, 9.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 305
43.00, 31, 12.00, 2.00, 0.00, 10.00, 2.00, 0.00, 8.00, 429
70.00, 59, 11.00, 0.00, 0.00, 11.00, 2.00, 0.00, 9.00, 470
18.00, 8, 10.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 458
127.00, 119, 8.00, 0.00, 0.00, 8.00, 2.00, 0.00, 6.00, 285
152.00, 141, 11.00, 0.00, 0.00, 10.00, 2.00, 0.00, 8.00, 466
152.00, 140, 12.00, 0.00, 0.00, 13.00, 5.00, 0.00, 8.00, 527
